LATIN_NAM,COMMON_NAM,SP_TYPE,HAB_USE,CEREALS,WNTR_CRLS,OILSEED,CORN,SOYBEANS,VEGETABLES,BERRIES,FRUIT_TREE,OTR_CRPS,SOD,PULSES,SUMMF,TAME,IMPAST,UNIMPAST,GRSSHRBWD,ANTHROP,WDLT_PLANT,WD_INTR,WD_NO_INT,SB_TREE,SB_GRS_HRB,RIP_WD,RIP_GRSHRB,RIP_AG,WTLD_W_MRG,WTLD_N_MAR,WTLD_OPWAT,WTLD_PEAT,WT_TS_SWMP,IDLE_LND
Porzana carolina,Sora,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,2,0
Gallinula chloropus,Common Moorhen,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fulica americana,American Coot,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,0,3,0
Grus canadensis,Sandhill Crane,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Pluvialis squatarola,Black-bellied Plover,1,C,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,3
Pluvialis dominica,American Golden-Plover,1,C,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,3
Charadrius semipalmatus,Semipalmated Plover,1,C,3,3,3,3,3,3,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,0,0,0
Charadrius vociferus,Killdeer,1,C,3,3,3,3,3,3,2,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,2
Tringa melanoleuca,Greater Yellowlegs,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,0,0
Tringa flavipes,Lesser Yellowlegs,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,0
Tringa solitaria,Solitary Sandpiper,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,0
